ID,Name,Gender,Qualification,,
702,"""Milena Moser""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (702, ""Milena Moser"", ""M"" , ""Undergraduate"" );"
703,"""Patricia Highsmith""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (703, ""Patricia Highsmith"", ""M"" , ""Undergraduate"" );"
704,"""Stephen Donaldson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (704, ""Stephen Donaldson"", ""M"" , ""Undergraduate"" );"
705,"""STEPHEN R. DONALDSON""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (705, ""STEPHEN R. DONALDSON"", ""M"" , ""Undergraduate"" );"
706,"""Ellen Rimbauer""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (706, ""Ellen Rimbauer"", ""M"" , ""Undergraduate"" );"
707,"""Todd Herzog""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (707, ""Todd Herzog"", ""M"" , ""Undergraduate"" );"
708,"""John Borneman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (708, ""John Borneman"", ""M"" , ""Undergraduate"" );"
709,"""ROBERT S. MCELVAINE""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (709, ""ROBERT S. MCELVAINE"", ""M"" , ""Undergraduate"" );"
710,"""Bram Stoker""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (710, ""Bram Stoker"", ""M"" , ""Undergraduate"" );"
711,"""Michael A. Stackpole""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (711, ""Michael A. Stackpole"", ""M"" , ""Undergraduate"" );"
712,"""Langston Hughes""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (712, ""Langston Hughes"", ""M"" , ""Undergraduate"" );"
713,"""Carol Matthews""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (713, ""Carol Matthews"", ""M"" , ""Undergraduate"" );"
714,"""Carole Matthews""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (714, ""Carole Matthews"", ""M"" , ""Undergraduate"" );"
715,"""Jacqueline L. Tobin""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (715, ""Jacqueline L. Tobin"", ""M"" , ""Undergraduate"" );"
716,"""Marion Zimmer Bradley""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (716, ""Marion Zimmer Bradley"", ""M"" , ""Undergraduate"" );"
717,"""Andrei Codrescu""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (717, ""Andrei Codrescu"", ""M"" , ""Undergraduate"" );"
718,"""Carolyne Aarsen""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (718, ""Carolyne Aarsen"", ""M"" , ""Undergraduate"" );"
719,"""Louis L'Amour""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (719, ""Louis L'Amour"", ""M"" , ""Undergraduate"" );"
720,"""Jack Chapman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (720, ""Jack Chapman"", ""M"" , ""Undergraduate"" );"
721,"""Anthony J Alessandra""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (721, ""Anthony J Alessandra"", ""M"" , ""Undergraduate"" );"
722,"""Charles R. Swindoll""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (722, ""Charles R. Swindoll"", ""M"" , ""Undergraduate"" );"
723,"""Orson Scott Card""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (723, ""Orson Scott Card"", ""M"" , ""Undergraduate"" );"
724,"""V. A Howard""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (724, ""V. A Howard"", ""M"" , ""Undergraduate"" );"
725,"""Walter P. Wilson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (725, ""Walter P. Wilson"", ""M"" , ""Undergraduate"" );"
726,"""Bruce Fries""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (726, ""Bruce Fries"", ""M"" , ""Undergraduate"" );"
727,"""Rush H., III Limbaugh""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (727, ""Rush H., III Limbaugh"", ""M"" , ""Undergraduate"" );"
728,"""Anne Dingus""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (728, ""Anne Dingus"", ""M"" , ""Undergraduate"" );"
729,"""Kate Chopin""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (729, ""Kate Chopin"", ""M"" , ""Undergraduate"" );"
730,"""Kirk Kazanjian""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (730, ""Kirk Kazanjian"", ""M"" , ""Undergraduate"" );"
731,"""Donald Merriam Allen""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (731, ""Donald Merriam Allen"", ""M"" , ""Undergraduate"" );"
732,"""William Maples""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (732, ""William Maples"", ""M"" , ""Undergraduate"" );"
733,"""Carl Hausman""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (733, ""Carl Hausman"", ""M"" , ""Undergraduate"" );"
734,"""Richard Peck""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (734, ""Richard Peck"", ""M"" , ""Undergraduate"" );"
735,"""Michael Connelly""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (735, ""Michael Connelly"", ""M"" , ""Undergraduate"" );"
736,"""John T. Lescroart""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (736, ""John T. Lescroart"", ""M"" , ""Undergraduate"" );"
737,"""John Jakes""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (737, ""John Jakes"", ""M"" , ""Undergraduate"" );"
738,"""Alice McDermott""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (738, ""Alice McDermott"", ""M"" , ""Undergraduate"" );"
739,"""Hilary Bailey""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (739, ""Hilary Bailey"", ""M"" , ""Undergraduate"" );"
740,"""Howard Fast""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (740, ""Howard Fast"", ""M"" , ""Undergraduate"" );"
741,"""Jessica Fletcher""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (741, ""Jessica Fletcher"", ""M"" , ""Undergraduate"" );"
742,"""Eileen Goudge""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (742, ""Eileen Goudge"", ""M"" , ""Undergraduate"" );"
743,"""Arnette Lamb""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (743, ""Arnette Lamb"", ""M"" , ""Undergraduate"" );"
744,"""WALTER CRONKITE""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (744, ""WALTER CRONKITE"", ""M"" , ""Undergraduate"" );"
745,"""Tom Mula""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (745, ""Tom Mula"", ""M"" , ""Undergraduate"" );"
746,"""Lois Faye Dyer""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (746, ""Lois Faye Dyer"", ""M"" , ""Undergraduate"" );"
747,"""Sharon Lamb""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (747, ""Sharon Lamb"", ""M"" , ""Undergraduate"" );"
748,"""Sir Arthur Conan Doyle""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (748, ""Sir Arthur Conan Doyle"", ""M"" , ""Undergraduate"" );"
749,"""AGATHA CHRISTIE""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (749, ""AGATHA CHRISTIE"", ""M"" , ""Undergraduate"" );"
750,"""Mark Cohen""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (750, ""Mark Cohen"", ""M"" , ""Undergraduate"" );"
751,"""Sherry Shahan""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (751, ""Sherry Shahan"", ""M"" , ""Undergraduate"" );"
752,"""Helen Myers""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (752, ""Helen Myers"", ""M"" , ""Undergraduate"" );"
753,"""Della Rowland""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (753, ""Della Rowland"", ""M"" , ""Undergraduate"" );"
754,"""Irving. Adler""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (754, ""Irving. Adler"", ""M"" , ""Undergraduate"" );"
755,"""Elizabeth Peters""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (755, ""Elizabeth Peters"", ""M"" , ""Undergraduate"" );"
756,"""Shirlee Busbee""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (756, ""Shirlee Busbee"", ""M"" , ""Undergraduate"" );"
757,"""EMILY BRONTE""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (757, ""EMILY BRONTE"", ""M"" , ""Undergraduate"" );"
758,"""Frank E. Peretti""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (758, ""Frank E. Peretti"", ""M"" , ""Undergraduate"" );"
759,"""John A. Keel""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (759, ""John A. Keel"", ""M"" , ""Undergraduate"" );"
760,"""Stefanie Scott""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (760, ""Stefanie Scott"", ""M"" , ""Undergraduate"" );"
761,"""Rebecca Winters""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (761, ""Rebecca Winters"", ""M"" , ""Undergraduate"" );"
762,"""Meg Cabot""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (762, ""Meg Cabot"", ""M"" , ""Undergraduate"" );"
763,"""Tanith Lee""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (763, ""Tanith Lee"", ""M"" , ""Undergraduate"" );"
764,"""Cathy Gillen Thacker""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (764, ""Cathy Gillen Thacker"", ""M"" , ""Undergraduate"" );"
765,"""Richard Burton""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (765, ""Richard Burton"", ""M"" , ""Undergraduate"" );"
766,"""Jeffrey Eugenides""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (766, ""Jeffrey Eugenides"", ""M"" , ""Undergraduate"" );"
767,"""Beverly Hastings""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (767, ""Beverly Hastings"", ""M"" , ""Undergraduate"" );"
768,"""Cyrano de Bergerac""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (768, ""Cyrano de Bergerac"", ""M"" , ""Undergraduate"" );"
769,"""James C. Robertson""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (769, ""James C. Robertson"", ""M"" , ""Undergraduate"" );"
770,"""Teresa Southwick""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (770, ""Teresa Southwick"", ""M"" , ""Undergraduate"" );"
771,"""Judith Guest""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (771, ""Judith Guest"", ""M"" , ""Undergraduate"" );"
772,"""Sandra Field""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (772, ""Sandra Field"", ""M"" , ""Undergraduate"" );"
773,"""Helen Brooks""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (773, ""Helen Brooks"", ""M"" , ""Undergraduate"" );"
774,"""Blanche Fisher Wright""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (774, ""Blanche Fisher Wright"", ""M"" , ""Undergraduate"" );"
775,"""George Gately""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (775, ""George Gately"", ""M"" , ""Undergraduate"" );"
776,"""James Lee Burke""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (776, ""James Lee Burke"", ""M"" , ""Undergraduate"" );"
777,"""Michael Chabon""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (777, ""Michael Chabon"", ""M"" , ""Undergraduate"" );"
778,"""Barbara Michaels""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (778, ""Barbara Michaels"", ""M"" , ""Undergraduate"" );"
779,"""Norton Juster""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (779, ""Norton Juster"", ""M"" , ""Undergraduate"" );"
780,"""Michael Blake""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (780, ""Michael Blake"", ""M"" , ""Undergraduate"" );"
781,"""John Bellairs""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (781, ""John Bellairs"", ""M"" , ""Undergraduate"" );"
782,"""Carole Nelson Douglas""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (782, ""Carole Nelson Douglas"", ""M"" , ""Undergraduate"" );"
783,"""WILLIAM GOLDMAN""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (783, ""WILLIAM GOLDMAN"", ""M"" , ""Undergraduate"" );"
784,"""Marc Reisner""","""M""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (784, ""Marc Reisner"", ""M"" , ""Undergraduate"" );"
785,"""Mark Bowden""","""F""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (785, ""Mark Bowden"", ""F"" , ""Undergraduate"" );"
786,"""Jonathan Pearce""","""F""","""Undergraduate""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (786, ""Jonathan Pearce"", ""F"" , ""Undergraduate"" );"
787,"""Alain de Botton""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (787, ""Alain de Botton"", ""F"" , ""High School"" );"
788,"""Chuck Palahniuk""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (788, ""Chuck Palahniuk"", ""F"" , ""High School"" );"
789,"""Annie Proulx""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (789, ""Annie Proulx"", ""F"" , ""High School"" );"
790,"""Adam Davies""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (790, ""Adam Davies"", ""F"" , ""High School"" );"
791,"""Harry M. Walker""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (791, ""Harry M. Walker"", ""F"" , ""High School"" );"
792,"""Nicholas Evans""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (792, ""Nicholas Evans"", ""F"" , ""High School"" );"
793,"""L.M. MONTGOMERY""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (793, ""L.M. MONTGOMERY"", ""F"" , ""High School"" );"
794,"""Vinke""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (794, ""Vinke"", ""F"" , ""High School"" );"
795,"""DAVID MITCHELL""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (795, ""DAVID MITCHELL"", ""F"" , ""High School"" );"
796,"""Charles Bukowski""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (796, ""Charles Bukowski"", ""F"" , ""High School"" );"
797,"""Haruki Murakami""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (797, ""Haruki Murakami"", ""F"" , ""High School"" );"
798,"""Frances Hodgson  Burnett""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (798, ""Frances Hodgson  Burnett"", ""F"" , ""High School"" );"
799,"""Patricia C. Wrede""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (799, ""Patricia C. Wrede"", ""F"" , ""High School"" );"
800,"""Jack London""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (800, ""Jack London"", ""F"" , ""High School"" );"
801,"""Bruce Wilkinson""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (801, ""Bruce Wilkinson"", ""F"" , ""High School"" );"
802,"""Malcolm Goodway""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (802, ""Malcolm Goodway"", ""F"" , ""High School"" );"
803,"""Ann-Marie MacDonald""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (803, ""Ann-Marie MacDonald"", ""F"" , ""High School"" );"
804,"""Linda Howard""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (804, ""Linda Howard"", ""F"" , ""High School"" );"
805,"""Sue Miller""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (805, ""Sue Miller"", ""F"" , ""High School"" );"
806,"""Sheri S. Tepper""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (806, ""Sheri S. Tepper"", ""F"" , ""High School"" );"
807,"""DR SEUSS""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (807, ""DR SEUSS"", ""F"" , ""High School"" );"
808,"""Tobias Wolff""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (808, ""Tobias Wolff"", ""F"" , ""High School"" );"
809,"""Isaac Bashevis Singer""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (809, ""Isaac Bashevis Singer"", ""F"" , ""High School"" );"
810,"""Gary Zukav""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (810, ""Gary Zukav"", ""F"" , ""High School"" );"
811,"""Alfred H. Kelly""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (811, ""Alfred H. Kelly"", ""F"" , ""High School"" );"
812,"""Plato""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (812, ""Plato"", ""F"" , ""High School"" );"
813,"""B Kliban""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (813, ""B Kliban"", ""F"" , ""High School"" );"
814,"""JUDY BLUNT""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (814, ""JUDY BLUNT"", ""F"" , ""High School"" );"
815,"""William Trevor""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (815, ""William Trevor"", ""F"" , ""High School"" );"
816,"""Alice Walker""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (816, ""Alice Walker"", ""F"" , ""High School"" );"
817,"""Stephen Gazi""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (817, ""Stephen Gazi"", ""F"" , ""High School"" );"
818,"""Wallace Stegner""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (818, ""Wallace Stegner"", ""F"" , ""High School"" );"
819,"""Don DeLillo""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (819, ""Don DeLillo"", ""F"" , ""High School"" );"
820,"""Ralph Ellison""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (820, ""Ralph Ellison"", ""F"" , ""High School"" );"
821,"""Shel Silverstein""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (821, ""Shel Silverstein"", ""F"" , ""High School"" );"
822,"""Jhumpa Lahiri""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (822, ""Jhumpa Lahiri"", ""F"" , ""High School"" );"
823,"""Liz Trigg""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (823, ""Liz Trigg"", ""F"" , ""High School"" );"
824,"""Charles Sullivan""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (824, ""Charles Sullivan"", ""F"" , ""High School"" );"
825,"""TOM ROBBINS""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (825, ""TOM ROBBINS"", ""F"" , ""High School"" );"
826,"""Ursula Hegi""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (826, ""Ursula Hegi"", ""F"" , ""High School"" );"
827,"""Samuel Richardson""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (827, ""Samuel Richardson"", ""F"" , ""High School"" );"
828,"""Valerie Martin""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (828, ""Valerie Martin"", ""F"" , ""High School"" );"
829,"""Gill Farrer-Halls""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (829, ""Gill Farrer-Halls"", ""F"" , ""High School"" );"
830,"""John Mordock""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (830, ""John Mordock"", ""F"" , ""High School"" );"
831,"""Susan Bowes""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (831, ""Susan Bowes"", ""F"" , ""High School"" );"
832,"""DIANA GABALDON""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (832, ""DIANA GABALDON"", ""F"" , ""High School"" );"
833,"""Zadie Smith""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (833, ""Zadie Smith"", ""F"" , ""High School"" );"
834,"""NATALIE GOLDBERG""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (834, ""NATALIE GOLDBERG"", ""F"" , ""High School"" );"
835,"""Sue Grafton""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (835, ""Sue Grafton"", ""F"" , ""High School"" );"
836,"""William J. Kennedy""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (836, ""William J. Kennedy"", ""F"" , ""High School"" );"
837,"""Bob Shacochis""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (837, ""Bob Shacochis"", ""F"" , ""High School"" );"
838,"""Randy Alcorn""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (838, ""Randy Alcorn"", ""F"" , ""High School"" );"
839,"""Nancy Cobb""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (839, ""Nancy Cobb"", ""F"" , ""High School"" );"
840,"""Margriet de Moor""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (840, ""Margriet de Moor"", ""F"" , ""High School"" );"
841,"""Dale Carnegie""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (841, ""Dale Carnegie"", ""F"" , ""High School"" );"
842,"""Clifford Stoll""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (842, ""Clifford Stoll"", ""F"" , ""High School"" );"
843,"""SANDRA CISNEROS""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (843, ""SANDRA CISNEROS"", ""F"" , ""High School"" );"
844,"""Gary Paulsen""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (844, ""Gary Paulsen"", ""F"" , ""High School"" );"
845,"""Marguerite Henry""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (845, ""Marguerite Henry"", ""F"" , ""High School"" );"
846,"""Sherry Garland""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (846, ""Sherry Garland"", ""F"" , ""High School"" );"
847,"""Kimberly Kirberger""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (847, ""Kimberly Kirberger"", ""F"" , ""High School"" );"
848,"""Ariella Papa""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (848, ""Ariella Papa"", ""F"" , ""High School"" );"
849,"""Michael J. Rosen""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (849, ""Michael J. Rosen"", ""F"" , ""High School"" );"
850,"""Dawn Chipman""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (850, ""Dawn Chipman"", ""F"" , ""High School"" );"
851,"""Shannon Olson""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (851, ""Shannon Olson"", ""F"" , ""High School"" );"
852,"""Phyllis Reynolds Naylor""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (852, ""Phyllis Reynolds Naylor"", ""F"" , ""High School"" );"
853,"""Karen Stolz""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (853, ""Karen Stolz"", ""F"" , ""High School"" );"
854,"""CLARE NAYLOR""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (854, ""CLARE NAYLOR"", ""F"" , ""High School"" );"
855,"""Stephen Chbosky""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (855, ""Stephen Chbosky"", ""F"" , ""High School"" );"
856,"""Antonio Albanese""","""F""","""High School""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (856, ""Antonio Albanese"", ""F"" , ""High School"" );"
